question,answer,intent,state,crop
cowpea (vegetable) management of powdery mildew in cowpea,suggested to spray carbendazim 50 wp (2 gram/litre of water).,plant protection,kerala,cowpea (vegetable)
soybean (bhat) soya bean virus management,"recommended to spray fipronil +imidacloprid (police,lesenta)100gm/ 200 liter of water/ acre or recommended to spray acetamiprid + fipronil(tiphon) 400 ml / 200 litres of water /acre",plant protection,telangana,soybean (bhat)
brinjal management of fruit rot in brinjal,suggested to remove and destroy affected fruits. spray copper oxychloride 50 wp @ 2 gram per litre of water.,plant protection,kerala,brinjal
others planting of potato in grow bags,"suggested add 8 - 10 inches (20 - 30cm) of potting mix to the bottom of grow bag. put your seed potatoes on top (one seed potato in a bucket, two or three in a large bag for life, 4 in a 50 litre container), then cover them with a further six inches (15cm) of compost.put them in a sunny place. they need at least four hours sun . then water once to make sure the potting mix is damp.when your potato plants are about a foot tall, roll the bag up about six inches and top up with potting mix. keep doing this every couple of weeks until the bag is completely unrolled.",cultural practices,kerala,others
anthurium nutrient management in anthurium,suggested to remove the infected parts,nutrient management,kerala,anthurium
paddy (dhan) paddy grain discoloration management ;-,recommended to spray propiconazole 200 ml / 200 litres of water /acre,plant protection,telangana,paddy (dhan)
chillies chilli root knot nematode management,recommended to apply carbofuran 3g granules 8-10 kg/acre,plant protection,telangana,chillies
chrysanthemum thrips control in chryasanethemum.,suggested to spray imidachloprid @ 0.5 ml/ltr of water,plant protection,karnataka,chrysanthemum
cucumber cucumber leaf eating caterpillar management ;-,recommended to spray chlorpyrifos 500 ml/200 litres of water,plant protection,telangana,cucumber
others the contact details of thrissur sales counter number.,thrissur sales counter number -0487 237 0540,training and exposure visits,kerala,others
pomegranate wilt management in crop fields?,"recommended to apply neem cake,fym deep ploughing crop rotation should be followed.",plant protection,andhra pradesh,pomegranate
paddy (dhan) ferilizer application in paddy,recommended to apply urea-25kg and mop-15kg/acre,fertilizer use and availability,telangana,paddy (dhan)
fingermillet (ragi/mandika) market rate of ragi,kottur 01/02/2025 hybrid 324 3166 3581 davanagere 03/02/2025 local 83 3176 3689,market information,karnataka,fingermillet (ragi/mandika)
banana the management of micronutrient deficiency in banana.,suggested to spray micronutrient mix 5g/l.,nutrient management,kerala,banana
 20th installment of pm kisan samman nidhi scheme,the release date of pm kisan 20th installment is not yet announced by the govt. kindly wait,,kerala,
bhindi(okra/ladysfinger) the management of colour change in growing points of younger leaves,suggested to spray calcium nitrate 2g and borax 1g in 1l water.,nutrient management,kerala,bhindi(okra/ladysfinger)
chillies virus management in chilly,advised to pluck the affected plants and control sucking pests by spraying lancer gold (acephate 50 % + imidacloprid 1.8 % sp) 400 grams/200 liter of water/acre.,plant protection,telangana,chillies
ash gourd (petha) requirement for growth hormone in ash gourd for female flower production,spray naa (planofix) 2 ml in 10l water,cultural practices,kerala,ash gourd (petha)
paddy (dhan) paddy variety maneru sona (jgl 3828),maneru sona (jgl 3828) - thin seed variety suitable for kharif season crop duration is 135 days and yield 26 - 28 qnt per acre,varieties,telangana,paddy (dhan)
others weed management on empty land which is not used for agricuture,recommended to spray glyphosate 2 liters + urea 2 kgs/200 liter of water/acre,weed management,telangana,others
onion which nutrient is to sprayed for onion crop,suggested to spray vegetable special @5gm + 13-00-45 npk @ 5gm per liter of water,nutrient management,karnataka,onion
others pmkisan samman nidhi scheme 18th installment,hon'ble prime minister will release the 18th installment of pm kisan scheme on 05th oct 2024.,government schemes,telangana,others
others price detail of cotton in khammam mandi.,21/02/2023 mandi : khammam commodity : cotton (modal price): 7500/quintal,market information,telangana,others
arecanut the management of fungal disease in arecanut.,suggested to apply hexaconazol 1ml in 1l and also apply megnesium sulphate 60g.,plant protection,kerala,arecanut
cotton (kapas) market information of cotton in jummikunta,the average cotton price in jammikunta is ₹7421/quintal. the lowest market price is ₹7421/quintal.,market information,telangana,cotton (kapas)
others management of damping off disease in amara seedlings,suggested to spray & soil drench psuedomonas flourescense 20 gram per one litre of water,plant protection,kerala,others
bitter gourd management of downy mildew in bittergourd,suggested to spray copperoxychloride 2.5 gram per liter of water and also do soil test,plant protection,kerala,bitter gourd
others information subsidie on agriculture implements,jayashankar bhupalpalli - bhupalpally - mao -,government schemes,telangana,others
paddy (dhan) barrel land weed management,recommended to spray paraquit 1 liter/ 200 liter of water,weed management,telangana,paddy (dhan)
chillies insecticide + fungicide compatibility test ?,recommended to do test and spray,plant protection,andhra pradesh,chillies
paddy (dhan) transplanting of 40 days old paddy nursery,3 days before transplant of paddy nursery apply 1 kg of ssp or gypsum per cent and water immideately,cultural practices,telangana,paddy (dhan)
cocoa management of chirelle rot in cocoa,spray carbendazim 50 wp @ 1g/l two times at 2 week interval,plant protection,kerala,cocoa
bhindi(okra/ladysfinger) sucking pest managenent in bhindi crop,recommended to spray fipronil +imidacloprid (police) 100 grams/200 litres of water /acre,plant protection,telangana,bhindi(okra/ladysfinger)
citrus weed management in citrus crops,recommended to spray glyphosate 2liters + urea 2 kgs/200 liter of water/acre,plant protection,andhra pradesh,citrus
chillies sowing season of chilli crop,sowing season chilli crop is jan - feb,cultural practices,karnataka,chillies
ivy gourd control of powdery mildew in ivy gourd,suggested to spray pseudomonas 20g per litre of water,plant protection,kerala,ivy gourd
nutmeg management of splitting in nutmeg,suggested to spray borax 5gm in 1 litre of water,nutrient management,kerala,nutmeg
mango nutrient management in mango crop,recommended to spray 1-2 kg murate of potash kgs /acre,nutrient management,telangana,mango
papaya tell me variety of papaya ?,"variety of papaya = taiwan 786, red lady, surya, kurg honeydew, pusa mejestic",vegetative propagation and tissue culture,bihar,papaya
green gram (moong bean/ moong) market price of greengram,market price of green gram in bagalkot 12/09/2024 green gram (whole) 1004 8809 gadag 12/09/2024 green gram (whole) 509 9379 haveri 12/09/2024 green gram (whole) 9200 9350 ramdurga 11/09/2024 jawari/local 3099 9149,market information,karnataka,green gram (moong bean/ moong)
drum stick fertilizer application in drumstick,"suggested to apply neem powder -250gms,ssp-150 grams and cow dung-10kg/plant at a sowing time",fertilizer use and availability,telangana,drum stick
sapota control of whiteflies in fruit crops,suggested to spray azadiractin 2.5ml/litre of water,plant protection,kerala,sapota
pepper planting season for black pepper,suggested to plant black pepper in may-june,cultural practices,kerala,pepper
bitter gourd weed management in bitter gourd sown after 30 days crop,no herbicides recommended in bitter gourd sown after 30 days crop,plant protection,telangana,bitter gourd
pepper organic management of black pepper,"suggested to apply cattle manur or compost -10kg,ash-500g,neemcake-1kg per plant at the onset of southwest monsoon and fym-5 kg,ash-500g and neemcake -1kg per plant at the oneset of northeast monsoon and cover lightly with soil.",nutrient management,kerala,pepper
sunnhemp (patua) green manure suitable crops ;-,"green manure crops growing ;- dhaincha,pillipesara,sunnhemp (patua),green gram ,black gram",cultural practices,telangana,sunnhemp (patua)
others inducing rooting in cuttings,suggested to use rooting hormone powder (rootex),cultural practices,kerala,others
beans fruit fly in beans,recommended to spray malathion (malathion) 400 ml /200 litres of water / acre,plant protection,telangana,beans
cotton (kapas) bhadradri kothagudem marketing officer contact number ?,"j.narendar , junior marketing supervisor , kothagudem , , dmoktdm@gmail.com",market information,telangana,cotton (kapas)
litchi sun scorching in rambutan,recommended to provide shade and light irrigation.,cultural practices,kerala,litchi
groundnut (pea nut/mung phalli) sowing season in ground nut,sowing season in ground nut is june -july and summer,sowing time and weather,karnataka,groundnut (pea nut/mung phalli)
cowpea (vegetable) management of crown rot in cow pea,suggested to soil drench hexaconazole 1 ml in one litre of water.,plant protection,kerala,cowpea (vegetable)
"chillies roko thiophanate methyl 70% wp, information ?","benefits: perfect solution for anthracnose, cercospora leaf spot, powdery mildew, venturia scab, sclerotinia rot, botrytis, and fusarium wilt. enhanced phytotonic & antifungal effect due to s atom. green: no skin/ eye irritation and low mammalian toxicity. quick and uniformly dissolves in water foliar spray: spray @ 250 to 500 gm per ha. (0.5 g/lit of water).",plant protection,andhra pradesh,chillies
