question,answer,intent,state,crop
the nutrient management of sali paddy,"suggest him to apply 9 kg urea,27 kg ssp and 9 kg mop/bigha as basal application.",unknown,unknown,unknown
the cultivation of post flood rice variety and seed procurment.,"grow gitesh,prafulla rice variety and to contact agri deptt. for seed procurement.",unknown,unknown,unknown
the control of leaf roller in bitter gourd,to spray malathion 50 ec @ 2ml/liter of water,unknown,unknown,unknown
asking for crop insurance,recommended him to contact nearest natinalised bank,unknown,unknown,unknown
asking for control of early shoot borer in sugarcane,recommended him to spray tricel @ 3 ml per litre of water,unknown,unknown,unknown
query for pyrexia  & inappitance of a cow,bolus paralgin ds  anigest 30 gm  liv -52 powder,unknown,unknown,unknown
treatment anorexia in cat.,administer proviboost drop @ 5 drops trwice daily.,unknown,unknown,unknown
the control measure against the yellowing of leaves,"recommended to spray tracel 2,2 gram/lit water mix with the urea 5 gram 2 times at 7 days interval",unknown,unknown,unknown
breed of cow,cross bred jersey  can be use in assam & n.e region,unknown,unknown,unknown
cattle farm,selection of breed housing medicine managemental practice,unknown,unknown,unknown
teraining on poultry farming.,contact with district veterinary officer for training on poultry farming.,unknown,unknown,unknown
litchi fertilizer,advised to grow the seedling with vermicompost only,unknown,unknown,unknown
the control of plant hopper in paddy,to spray chloropyriphose 20 ec @ 2ml/liter of wate,unknown,unknown,unknown
opening a dairy  farm,housing   selection of breed medicine  feed,unknown,unknown,unknown
gas formation in fish pond,recommended to apply salt @10kg/bigha and throughing piece of banana tree .lime application @10kg/bigha/month,unknown,unknown,unknown
the herbicide application in yard long bean,suggest him to go for manual weeding,unknown,unknown,unknown
the micronutrient application in marigold,recommended to spray tracel 2 gram/lit water mix with urea 10 gram,unknown,unknown,unknown
milk production of a cow,diatery calcium should be increased in diet,unknown,unknown,unknown
milk production,increase dietary calcium in diet,unknown,unknown,unknown
thegovt schemes,suggest him to contact with agriculture department,unknown,unknown,unknown
control measure of rice hispa,recommended to spray classic 20 ec @ 2ml/lit of water,unknown,unknown,unknown
breed of chicken,information can be taken from nearest kvk or state vety hospital,unknown,unknown,unknown
the fasal bima yojna,advised him to go to the district agricultural office,unknown,unknown,unknown
management of chilli,recommended to apply trycel 20ec@2ml/lit,unknown,unknown,unknown
supply of agricultural machinery and seeds.,advise to contact district agricultural office.,unknown,unknown,unknown
the control measure for the damage caused by cut worms in rice,recommended to spray tricel 20 ec 2 ml/lit water 3 sprays at 5 days gape.,unknown,unknown,unknown
govt scheme for cultivation.,advised him to contact with his respective district agricultural office.,unknown,unknown,unknown
the control measure of rice stem borer,recommended to spray tricel @ 2 ml/lit of water,unknown,unknown,unknown
the bank loan,advised him to contact with district agricultural office,unknown,unknown,unknown
management of leaf curl of bhindi.,advise to spray monocrotophos @ 2 g/lt of water to control white fly insect.,unknown,unknown,unknown
the control measure of rice eating caterpillar,to spray tricel @2ml/lit of water,unknown,unknown,unknown
source for rose seeds.,advise to contact nursery.,unknown,unknown,unknown
micro nutrient deficiency in bottle gourd.,advised to spray tracel-2 @ 2 gram/ liter water.,unknown,unknown,unknown
management of leaf spot.,advise to spray indofil m-45 @ 2g/lt of water.,unknown,unknown,unknown
the control measure of fruit necrosis disease in jack fruit,to apply borax @100gm per plant,unknown,unknown,unknown
control measure of termites.,recommended to spray furadon 3g @ 30 kg per bigha,unknown,unknown,unknown
the control measure for caterpillar in ridge gourd,"recommended to spray tricel 20 ec,2 ml/lit water",unknown,unknown,unknown
fertilizer requirement in bottle gourd,"recommended to apply 10 kg of fym (20 t/ha), 100 g of npk 6:12:12 mixture/pit as basal and 10 g of n/pit 30 days after sowing.apply azospirillum and phosphobacteria 2 kg/ha and pseudomonas 2.5 kg/ha along with fym 50 kg and neem cake @ 100 kg before last ploughing.",unknown,unknown,unknown
fertilizer requirement,"recommended to apply 10 kg of fym (20 t/ha), 100 g of npk 6:12:12 mixture/pit as basal and 10 g of n/pit 30 days after sowing.apply azospirillum and phosphobacteria 2 kg/ha and pseudomonas 2.5 kg/ha along with fym 50 kg and neem cake @ 100 kg before last ploughing.",unknown,unknown,unknown
the control of swarming caterpillar in rice,to spray ustad @ 2ml/l of water,unknown,unknown,unknown
the controlling of soil borne disease in bottle gourd,recommended to spray formalin @ 40 ml/lit of water after ploughing,unknown,unknown,unknown
fruit flies management in sponge gourd,recommended to spray malathion 50 ec @ 2 ml per lit of water,unknown,unknown,unknown
micronutrient for dolichos bean,spray tata tracel @ 2gm per litre of water,unknown,unknown,unknown
the control measure for aphids in chilli,"recommended to spray tufgor 35 ec,2 ml/lit water",unknown,unknown,unknown
the control of curling of leaf in chillies,to spray rogor @ 2ml/l of water,unknown,unknown,unknown
the control measure for downey mildew in bottle gourd,recommended to spray saaf 2 gram/lit water 3 sprays at 5 days gape.,unknown,unknown,unknown
management of blight.,advise to spray blitox @ 2g/lt of water.,unknown,unknown,unknown
asking for fertlizer requrirement of coconut plant .,advised to apply 750 gram urea 1.25 kg super 850 gram potash and 25 gram borax at a distance of 4.5 feet around the plant as directed.,unknown,unknown,unknown
the control of insects in cowpea,to spray malathion @ 2ml/l of water,unknown,unknown,unknown
the agriculture machines,tell him to visit near by agriculture office or kvk,unknown,unknown,unknown
control measure of rice gundhi bug,recommended to apply malathion 5% dust @ 25 kg per bigha,unknown,unknown,unknown
the nutrient management on coconut,to apply coconut special @200 gm/plant,unknown,unknown,unknown
query about kcc,explain in details,unknown,unknown,unknown
the control  measure to insect in beans,recommended to spray malathion @ 2 ml/lit of water,unknown,unknown,unknown
for improving milk production in cow as well as to improve body condition in newly born calf,advice to administer caldhan v-30-40 ml 2 times daily to the cow ;in newly born calf -offer livomarc syrup @15 ml 2 times daily,unknown,unknown,unknown
late blight in potato.,advised to spray indofil m-45 @ 2 gram/ liter water as directed.,unknown,unknown,unknown
root rot of beans.,advisesd to spray bavistin @ 2 gram/ liter water.,unknown,unknown,unknown
the fertilizer dose of bitter gourd,"to apply urea- 5 kg, ssp- 25 kg, mop- 7 kg per bigha",unknown,unknown,unknown
asking for fertilizer requirement in one bigha of potato (to be irrigated),advised to apply 19 kg urea 90 kg super and 24 kg potash in one bigha of potato.,unknown,unknown,unknown
artificial insemination in cow,advice to consult a veterinary sergeon nearby to detect the mode of heat,unknown,unknown,unknown
the control-measure of loose motion i pregnant and lactating cow,"advice to administer ors packet @ 1 packet daily for 10 days,also administer himalayan batisa @30 gram daily along with feed or water",unknown,unknown,unknown
control measure of leaf eating caterpillar,recommended to spray malathion 50 ec @ 2 ml per lit of water,unknown,unknown,unknown
the mustard leaf minor,to spray classic 20 ec @ 2ml /l of water,unknown,unknown,unknown
the control of insects in dolichos bean,to spray malathion 50 ec @ 2ml /l of water,unknown,unknown,unknown
b agriculture mechanization,details,unknown,unknown,unknown
control measure of blight potato,recommended to spray dithen m 45 @ 2 g per lit of water,unknown,unknown,unknown
the agriculture queries ( bengali expert),bengali expert is not available,unknown,unknown,unknown
the use of multiplex potato spacial,advised him to apply multiplex potato special @ 2 gm / litre .,unknown,unknown,unknown
the blight in potato,to spray radomil gold @ 2gm /l of water,unknown,unknown,unknown
management of late blight.,advise to spray ridomil @ 2g/lt of water.,unknown,unknown,unknown
the root rot in cowpea,to spray bavistin @ 2gm / l of water,unknown,unknown,unknown
control of fungal disease in tomato,recommended him to spray saaf @ 2 gm/lit of water,unknown,unknown,unknown
the control measure of army worm in paddy,to spray ustaad @2ml/lit of water,unknown,unknown,unknown
rti in broiler,lixen powder 3-4 gm/ lits of water,unknown,unknown,unknown
control of leaf curl in chillies,recommended him spray rogor @ 2 ml/lit of water,unknown,unknown,unknown
the curling of leaf in chillis,told him to spray rogor @ 2ml/ l of water,unknown,unknown,unknown
arecanut query,"recommended that spray bordeaux mixture(100gm copper sulphate in 5 lit water ,100gm lime in 5 lit water mix it in 3rd container for 10 lit solution)",unknown,unknown,unknown
some name of variety for bhindi.,"advised him to select bhindi-9.bhindi-10,provani kranti etc,.",unknown,unknown,unknown
control of pest in potato storage,mixed malathion 5 % dust @ 1.5 gm per kg of potato,unknown,unknown,unknown
the control measure of fruit borer in jack fruit,to spray decis @2ml/lit of water,unknown,unknown,unknown
improved variety of rice,"recommended him to name of the variety- luit, kapili",unknown,unknown,unknown
variety of jute,recommended to used variety tarun,unknown,unknown,unknown
whether water should be drained out from the boro paddy field.,advised him to keep atleast 3-4 cm water level in paddy field 12-15 days before harvesting,unknown,unknown,unknown
fertilizer requirement in a 12 year old coconut plant .,advised to apply 750 gram urea 1.25 super 875 gram 25 gram borax at a distance of 3 feet around the plant as directed.,unknown,unknown,unknown
flower dropping.,advise to spray planofix @ 1ml/5lts of water.,unknown,unknown,unknown
micronutrient for rice,spray multiplex paddy @ 2gm per litre of water,unknown,unknown,unknown
the control measure for powdery mildew in pumpkin,"recommended to spray saaf,2 gram/lit water",unknown,unknown,unknown
the control measure of bacterial wilt in bhindi,to spray agrimycine @1gm/ 10 lit of water,unknown,unknown,unknown
the micronutrient used in jackfruit,suggest him to apply tracel 2 @ 2gm/litre of water.,unknown,unknown,unknown
the control measure of weed on paddy,advised him to do manual weeding,unknown,unknown,unknown
the application of herbicide in standing paddy,advised him do hand weeding to remove grassy weeds,unknown,unknown,unknown
asking from where to get soil health card,"recommended him to contact kvk, karimganj",unknown,unknown,unknown
the mushroom,expert not available,unknown,unknown,unknown
soil testing.,"advise to contact kvk, karimganj.",unknown,unknown,unknown
micro-nutrient management.,advise to spray mohafol @ 2g/lt of water.,unknown,unknown,unknown
psuedostem borer .,advised to spray malathion 50 ec @ 2 ml/ liter water.,unknown,unknown,unknown
problem of shoot borer in guava,advised him to apply malathion 50 ec @ 2 ml / litre of water,unknown,unknown,unknown
the control measure of blb in paddy,to spray streptomycine @1gm/ 10 lit of water,unknown,unknown,unknown
asking for control of pest in top of the plant,recommended him to apply chloropyriphos 1.5% bp with sand at 1: 10 ratio,unknown,unknown,unknown
loan for farming ( agri- vet clinics),ask to inform local agriculture office or dist veterinary office for scheme and apply for loan in any nationalised bank,unknown,unknown,unknown
how to improve milk yield in lactating cow,advised him to mix 60 ml vimeral in 1 lits of ostovet;after proper mixing administer 35-40 ml daily,unknown,unknown,unknown
milk secretion,ostocalcium  agrimin can be given  papaya & smooth guord should be given to increased the milk production,unknown,unknown,unknown
infection on eye  of a bird  and request for prevetive medicine for the rest,ciplox e/ e drop - 2drop twice daily   codrinal 2-3 gram with drinking water as prophylactic for other,unknown,unknown,unknown
